subject,sex,genotype,mouse_vs_empty,side_time,target_time
5235,M,Mutants,with mouse,276.9,182.2
5239,F,Mutants,with mouse,331.9,167.7
5243,M,Mutants,with mouse,284.6,86.6
5246,F,Mutants,with mouse,208.7,115.3
5247,F,Mutants,with mouse,352.4,226.9
5267,F,Mutants,with mouse,351.6,178.7
5277,M,Cre (-) Control,with mouse,223.8,82.4
5278,M,Cre (-) Control,with mouse,299.5,151.2
5281,F,Cre (+) Control,with mouse,274.4,169.2
5282,M,Cre (+) Control,with mouse,278.2,122.3
5284,M,Cre (+) Control,with mouse,300.5,150
5285,M,Cre (-) Control,with mouse,258.5,126.3
5286,F,Cre (-) Control,with mouse,258.1,122.7
5287,F,Cre (-) Control,with mouse,301.7,149.8
5288,F,Cre (+) Control,with mouse,340.2,207.5
5289,F,Cre (-) Control,with mouse,270.7,143.1
5290,M,Cre (+) Control,with mouse,166.8,88.9
5291,M,Cre (+) Control,with mouse,249.7,160.4
5292,F,Cre (-) Control,with mouse,126,61.9
5294,M,Mutants,with mouse,241.4,147.6
5295,M,Mutants,with mouse,269,169.6
5314,M,Mutants,with mouse,252,131.1
5315,M,Mutants,with mouse,324.9,173.5
5317,F,Mutants,with mouse,347.6,214.5
5319,F,Mutants,with mouse,245.3,102.8
5325,M,Mutants,with mouse,259.2,99.3
5329,F,Mutants,with mouse,285.9,155.2
5331,F,Mutants,with mouse,257.8,108
5332,F,Mutants,with mouse,265.9,115.1
5440,F,Mutants,with mouse,262,123.1
5459,M,Mutants,with mouse,196.3,80.6
5461,M,Mutants,with mouse,247.3,122.5
5462,M,Mutants,with mouse,254.2,77.1
5465,F,Mutants,with mouse,331.7,194.7
5470,F,Mutants,with mouse,311.5,124
5488,M,Cre (+) Control,with mouse,265.7,75.1
5489,M,Cre (-) Control,with mouse,156.3,57
5643,M,Cre (-) Control,with mouse,305.6,201.6
5665,M,Mutants,with mouse,248.3,102.7
5666,M,Mutants,with mouse,347.4,201.3
5668,M,Mutants,with mouse,337,188
5720,M,Cre (+) Control,with mouse,299.2,179.8
5733,M,Cre (+) Control,with mouse,332.2,198.9
5734,M,Cre (+) Control,with mouse,291,141.9
5735,F,Cre (+) Control,with mouse,237.8,96.9
5736,F,Cre (+) Control,with mouse,286.8,133.6
5737,F,Cre (+) Control,with mouse,320,200.4
5738,F,Cre (+) Control,with mouse,312.2,167.1
5235,M,Mutants,with empty carousel,261.5,105.2
5239,F,Mutants,with empty carousel,170.8,55
5243,M,Mutants,with empty carousel,182.3,80.2
5246,F,Mutants,with empty carousel,285.2,122.7
5247,F,Mutants,with empty carousel,126.5,64.8
5267,F,Mutants,with empty carousel,149.9,77
5277,M,Cre (-) Control,with empty carousel,253.2,127.9
5278,M,Cre (-) Control,with empty carousel,232.9,93.9
5281,F,Cre (+) Control,with empty carousel,245.8,165.6
5282,M,Cre (+) Control,with empty carousel,190.4,70.9
5284,M,Cre (+) Control,with empty carousel,176.4,75.9
5285,M,Cre (-) Control,with empty carousel,231.8,117.5
5286,F,Cre (-) Control,with empty carousel,246.8,37.8
5287,F,Cre (-) Control,with empty carousel,218.1,68.5
5288,F,Cre (+) Control,with empty carousel,183.4,60.4
5289,F,Cre (-) Control,with empty carousel,187.2,74.2
5290,M,Cre (+) Control,with empty carousel,299.6,119.6
5291,M,Cre (+) Control,with empty carousel,265.2,124.8
5292,F,Cre (-) Control,with empty carousel,340,141.2
5294,M,Mutants,with empty carousel,191,94.8
5295,M,Mutants,with empty carousel,217,111.2
5314,M,Mutants,with empty carousel,177.4,28.3
5315,M,Mutants,with empty carousel,192.6,53
5317,F,Mutants,with empty carousel,99.7,42.5
5319,F,Mutants,with empty carousel,254.4,53.4
5325,M,Mutants,with empty carousel,226.9,86.3
5329,F,Mutants,with empty carousel,215.8,66.7
5331,F,Mutants,with empty carousel,168.7,50.3
5332,F,Mutants,with empty carousel,197.4,46.7
5440,F,Mutants,with empty carousel,197.4,85.2
5459,M,Mutants,with empty carousel,330.6,192
5461,M,Mutants,with empty carousel,254.5,107.7
5462,M,Mutants,with empty carousel,207.3,47.6
5465,F,Mutants,with empty carousel,180,108.1
5470,F,Mutants,with empty carousel,164.8,74
5488,M,Cre (+) Control,with empty carousel,286.5,103.7
5489,M,Cre (-) Control,with empty carousel,332.6,151.3
5643,M,Cre (-) Control,with empty carousel,226.1,86.1
5665,M,Mutants,with empty carousel,201.8,51.9
5666,M,Mutants,with empty carousel,171.1,27.5
5668,M,Mutants,with empty carousel,135.7,15.6
5720,M,Cre (+) Control,with empty carousel,177.3,47.2
5733,M,Cre (+) Control,with empty carousel,209.3,70
5734,M,Cre (+) Control,with empty carousel,227.7,93
5735,F,Cre (+) Control,with empty carousel,270,117.2
5736,F,Cre (+) Control,with empty carousel,225.2,120
5737,F,Cre (+) Control,with empty carousel,238,64.2
5738,F,Cre (+) Control,with empty carousel,205.8,110.3